ukbb20003;n
psoriderm shampoo;2
alphosyl 2 in 1 shampoo;26
capasal shampoo;131
meted shampoo;2
pentrax shampoo;3
soframycin eye ointment;0
bactroban ointment;12
flamazine 1% cream;2
canesten 1% cream;137
canesten 1% solution;3
canesten 1% spray;3
quinoderm 5% lotio-gel;0
quinoderm cream;1
acnidazil cream;0
benzoyl peroxide+miconazole nitrate;1
eskamel cream;0
retin-a 0.025% cream;13
skinoren cream;12
actinac lotion (pdr for recon);0
quinoderm+hydrocortisone cream;0
isotrex gel;7
callusolve 25% paint;0
warticon solution;0
condyline solution;1
calmurid solution;1
canesten 1% dusting powder;3
ecostatin cream;2
ecostatin lotion;0
pevaryl lotion;0
pevaryl 1% powder spray;0
exelderm cream;2
monphytol paint;1
mycota cream;2
collodion product;6
mycota powder;2
mycota spray;0
trosyl nail solution;34
trosyl cream;7
loceryl nail lacquer;54
loceryl cream;2
corsodyl original mouthwash;52
eludril mouthwash;0
aerocide 1 spray;0
aluminium chloride 20% roll-on solution;2
aluminium chloride 20% roll-on application;2
anhydrol forte roll-on solution;5
driclor roll-on application;5
aerocide 2 spray;0
cx 1 spray;0
cx 2 spray;0
canesten vc vaginal cream pack+applicator;1
gyno-pevaryl cream;1
tolnaftate+benzalkonium chloride 1/0.1% ointment;0
tolnaftate+chlorhexidine hydrochloride 1%/0.25% powder;2
mycil ointment;5
mycil powder;2
mycil spray;0
tineafax powder;0
cupal verruca treatment ointment;0
compound v liquid+pack;0
compound w liquid;0
eludril oral spray;0
hewletts cream;0
fentanyl+droperidol;0
papaveretum+hyoscine hydrobromide;0
co-simalcite;3
manevac granules;176
codalax liquid;4
cimetidine+alginate;7
docusate sodium;528
ranitidine;9371
compound sodium citrate enema;1
phosphate enema;3
golytely powder;0
carbenoxolone;2
pirenzepine;4
alverine;319
antiemetic;3
mebeverine;2781
domperidone;1106
gastrese-la 15mg m/r tablet;0
granisetron;6
loperamide;1810
antacid liquid;6
kaolin product;1
polycrol gel;0
laxative;117
synergel gel;1
klyx enema;0
antacid tablet;88
evoxin 10mg tablet;2
metoclopramide;633
olsalazine;66
effico tonic;2
opulets benoxinate eye drops;0
fluoxetine;6461
fluvoxamine;32
maprotiline;0
estramustine;2
mianserin;5
idarubicin;0
amitriptyline;10933
clomipramine;353
desipramine;1
mercuric oxide;0
dothiepin;179
imipramine;267
protriptyline;0
trazodone;748
amantadine;155
apomorphine;17
lysuride;1
chlorpromazine;181
pergolide;18
selegiline;100
pipothiazine;1
dexamphetamine;10
diethylpropion;4
viloxazine;0
amylobarbitone sodium;0
quinalbarbitone;0
remoxipride;0
buspirone;72
fenfluramine;1
promazine;41
thioridazine;3
oxypertine;1
betaxolol;33
bisoprolol;10635
celiprolol;145
bambuterol;4
fenoterol;0
alfuzosin;1350
orciprenaline;4
doxazosin;6866
reproterol;1
indoramin;129
rimiterol;2
phenoxybenzamine;2
ritodrine;2
terbutaline;799
prazosin;71
terazosin;187
amlodipine;28537
tulobuterol;1
diltiazem;1150
isoprenaline;3
nicardipine;65
metoprolol;1039
carteolol;35
labetalol;74
levobunolol;61
glauline eye drops;1
oxprenolol;18
penbutolol;0
naphazoline;1
propranolol;3866
phenylephrine;7
phenylephrine eye drops;0
xylometazoline;13
sotalol;824
timolol;455
hydrocal 1% cream;3
lanacort cream;2
coal tar product;33
calamine+coal tar ointment bp;0
coal tar+salicylic acid ointment bp;6
zinc+coal tar paste bp;0
coal tar distillate 1.5% shampoo;0
coal tar distillate+soya oil 30/50% bath oil;0
coal tar solution+hydrocortisone 3%/0.25% cream;1
coal tar 40% bath emulsion;2
coal tar+lecithin 6/0.4% cream;1
strong coal tar solution+pine tar 5/5% gel;1
coal tar extract+hydrocortisone 3%/0.25% cream;4
coal tar extract+allantoin 5%/2% lotion;1
coal tar extract+allantoin 5%/2% cream;2
dithranol;8
dithranol+urea 0.2% cream;0
dithranol+urea 0.1% cream;0
dithranol+salicylic acid 0.5/0.5% ointment;0
ichthammol;4
zinc+ichthammol cream bp;1
salicylic acid;16
zinc+salicylic acid paste bp;1
polyethylene+benzalkonium chloride 21.9/0.25% gel;1
aluminium oxide 52% paste;0
aluminium oxide 38% paste;0
benzoyl peroxide product;18
oxy 5 lotion;0
oxy 10 lotion;0
benzoyl peroxide+miconazole nitrate 5%/2% cream;2
benzoyl perox+potassium hydroxyquin sulphate 10/0.5% crm;0
valderma active gel;1
benzoyl perox+potass hydroxyquinoline sulph 5/0.5% lotio-gel;0
oxy 10 cover-up cream;0
sulphur product;24
sulphur+salicylic acid cream bp;2
sulphur+salicylic acid ointment bpc;0
sulphur compound 4% lotion bp;0
sulphur 10% ointment bp;0
sulphur+resorcinol 8/2% cream;0
topicycline topical solution;3
gamolenic acid;148
epogam 40mg capsule;0
efamast 40mg capsule;1
gammolin 40mg capsule;2
calcipotriol;334
acitretin;67
neotigason 10mg capsule;60
dithranol 0.2% ointment bp;5
zineryt topical solution;42
stiemycin solution;13
erythromycin+zinc acetate 40mg/12mg/ml topical solution;8
salicylic acid+lactic acid 16.7%/16.7% paint;0
bromine complexes;2
podophyllum resin;1
podophyllin+salicylic acid 20/25% ointment;0
podophyllotoxin;0
warticon fem solution;0
urea+lactic acid 20/5% solution;0
dalacin t topical solution;26
dalacin t rollerball lotion;10
azelaic acid;36
dianette tablet;75
isotretinoin;17
roaccutane 5mg capsule;23
coal tar extract 2% shampoo;5
ketoconazole 2% shampoo;87
coal tar+lecithin 2.5/0.3% shampoo;1
alcoholic coal tar extract 5% shampoo;3
salicylic acid+sulphur 3/5% shampoo;0
coal tar 4.3% shampoo;8
achromycin topical 3% ointment;1
benzoic acid product;2
benzoyl perox+potassium hydroxyquinoline sulphate 5/0.5% crm;1
clotrimazole;135
masnoderm 1% cream;0
nizoral 2% cream;26
ketoconazole 2% cream;12
daktarin twinpack 2% cream+powder;0
daktarin 0.16% powder spray;7
daktarin 2% dusting powder;3
nystaform cream;5
nystan cream;2
lithium succinate 8% ointment;0
colomycin topical powder;5
colistin sulphate topical powder;0
soframycin ointment;0
mupirocin;16
cicatrin powder spray;0
polybactrin powder spray;0
tribiotic spray;0
graneodin ointment;2
polymyxin b sulphate+bacitracin zinc ointment;0
aureomycin 3% ointment;0
genticin cream;1
nystan ointment;1
tinaderm-m cream;0
nystatin+tolnaftate 100000units/1%/g cream;0
nystatin+chlorhexidine hydrochloride 100000units/1%/g cream;15
zinc undecenoate+undecenoic acid 20/5% spray;0
aluminium acetate 0.65% lotion;0
zinc undecenoate+undecenoic acid 20/5% powder;0
zinc undecenoate+undecenoic acid 20/5% cream;1
tioconazole;34
metrogel 0.75% gel;107
amorolfine;76
herpid 5% application;0
iduridin 5% application;0
virudox 5% application;0
idoxuridine (in dimethylsulphoxide) 5% application;0
idoxuridine (in dimethylsulphoxide) 40% application;1
silver nitrate product;0
influenza vaccine;22
hirudoid cream;27
secaderm ointment;1
alfentanil;1
rapifen 1mg/2ml injection;0
rapifen 5mg/10ml injection;0
rapifen intensive care 5mg/1ml injection;0
fentanyl;130
sublimaze 100micrograms/2ml injection;0
sublimaze 500micrograms/10ml injection;0
thalamonal injection;1
meptazinol;52
meptid 200mg tablet;22
meptid 100mg/1ml injection;1
papaveretum;0
operidine 2mg/2ml injection;0
operidine 10mg/10ml injection;0
toradol 10mg tablet;0
omnopon paediatric injection;0
camsilon 10mg/1ml injection;0
robinul-neostigmine injection;0
neostigmine+glycopyrronium 2.5mg/500micrograms/1ml injection;0
dantrium iv 20mg injection (pdr for recon);0
co-magaldrox;29
magnesium carbonate;183
magnesium trisilicate;27
hydrotalcite;1
magaldrate;0
magnesium hydroxide;51
co-phenotrope;56
oxyphenisatin;0
sodium acid phosphate;5
glutamic acid product;17
algicon suspension;1
gastrocote liquid;98
mucaine suspension;3
premiums tablet;10
eno original powder;0
asilone liquid;25
heemex ointment;0
fletchers' magnesium sulphate 50% retention enema;0
fletchers' phosphate standard tube enema;0
anugesic-hc cream;14
anusol hc ointment;55
proctofoam hc foam;23
proctosedyl ointment;207
scheriproct ointment;69
ultraproct ointment;8
xyloproct ointment;59
chloraseptic mouthwash+gargle;0
anodesyn ointment;0
lacri-lube eye ointment;814
normacol granules;235
windcheaters capsule;0
bioral 2% oral gel;0
bioplex 1% mouthwash granules;0
j.collis brown's tablet;0
opazimes tablet;0
diocalm dual action tablet;6
dioctyl 12.5mg/5ml paediatric solution;1
fletchers' micro-enema;0
norgalax 120mg micro-enema;1
waxsol 0.5% ear drops;0
dioctyl ear drops;0
audinorm ear drops;0
molcer ear drops;0
liquid paraffin+magnesium hydroxide oral emulsion bp;0
diocalm ultra 2mg capsule;3
diareze 2mg capsule;1
arret 2mg capsule;0
diarphen tablet;0
de-nol 120mg/5ml liquid;0
algitec suspension;0
milk of magnesia suspension;14
naproxen+misoprostol;16
co-danthramer;29
co-danthrusate;15
pipenzolate+dimethicone;0
univer 120mg m/r capsule;26
adalate 10mg capsule;444
mcr-50 m/r capsule;0
accupro 5mg tablet;11
renitec 5mg tablet;3
capozide tablet;21
acezide tablet;0
avlocardyl retard 160mg m/r capsule;0
cordarone 200mg tablet;4
lasix+k tablet combination pack;0
zocor 10mg tablet;55
ismelin 5% eye drops;0
ganda 1+0.2 eye drops;0
heparin;19
salbutamol;6820
oxivent 100mcg inhaler;2
guanethidine monosulphate+adrenaline 0.25%/0.05% eye drops;0
regaine regular strength 20mg/ml topical liquid;13
timoptol 0.25% eye drops;315
betoptic 0.5% eye drops;59
diuretic;13
brovon inhalant;0
becodisks 100micrograms disks+diskhaler;52
beclomethasone dipropionate+salbutamol;127
sodium cromoglycate+isoprenaline sulphate;1
sodium cromoglycate+salbutamol;0
pollon-eze 10mg tablet;2
calimal 4mg tablet;4
aller-eze tablet;5
clemastine+phenylpropanolamine;1
sominex 20mg tablet;5
seldane 120mg tablet;1
eppy 1% eye drops;1
ilube eye drops;27
promethazine product;103
amylobarbitone;0
butobarbitone;0
cyclobarbitone;0
fluphenazine;13
zuclopenthixol;17
prolintane;2
hyoscine;67
femigraine tablet;1
aspirin+cyclizine hydrochloride 500mg/25mg tablet;0
co-beneldopa;79
co-careldopa;141
kaolin+morphine;3
morphine sulphate+atropine sulphate;46
pseudoephedrine;79
uniflu plus gregovite c tablet;1
propaderm ointment;9
budesonide 0.025% cream;1
preferid cream;0
rynacrom 2% nasal drops;40
simplene 0.5% eye drops;0
joy-rides tablet;0
aspirin+glycine 500mg/133mg dispersible tablet;5
disprin direct dispersible tablet;16
fanalgic 125mg/5ml syrup;0
paldesic 120mg/5ml elixir;0
paracets 500mg capsule;1
fanalgic 500mg tablet;0
gastrobid continus 15mg m/r tablet;0
gastromax 30mg m/r capsule;3
gastroflux 10mg tablet;2
kwells tablet;2
seroxat 20mg tablet;692
motipress tablet;0
molipaxin 50mg capsule;8
disprol junior 120mg soluble tablet;0
panaleve plus capsule;0
panadol extra soluble tablet;4
doans backache pill;0
paracetamol+sodium salicylate 150mg/100mg tablet;0
aspirin+codeine 300mg/8mg tablet;1
oramorph 10mg/5ml oral solution;149
oramorph 100mg/5ml concentrated oral solution;29
enterosan tablet;2
gamanil 70mg tablet;3
sinequan 10mg capsule;2
clozaril 25mg tablet;10
piperacillin+tazobactam;0
securopen 5g infusion set;0
ticarcillin+clavulanic acid;0
suprax 100mg/5ml paediatric oral suspension;0
orelox 100mg tablet;0
cefuroxime+metronidazole;0
aureomycin powder;0
dentomycin 10mg dental gel;0
cidomycin 80mg/2ml injection ampoule;0
cidomycin 80mg/2ml injection vial;0
erythroped 250mg/5ml suspension;0
erythroped sf 250mg/5ml suspension;0
erythroped pi sf 125mg/5ml suspension;0
zithromax 200mg/5ml oral suspension;0
klaricid 250mg tablet;8
ethambutol hcl+isoniazid;0
co-amoxiclav;110
sulpitil 200mg tablet;2
butyrophenone product;0
aspirin+codeine;11
paracetamol + codeine;422
paracetamol+dihydrocodeine tartrate;42
morphine tartrate+cyclizine;2
bicillin injection (pdr for recon);0
ladropen 125mg/5ml suspension;0
ampicillin+cloxacillin;0
co-fluampicil;9
pondocillin 175mg/5ml s/f suspension;0
pivampicillin+pivmecillinam;0
virazid 6g inhalation (pdr for recon);0
metrotop 0.8% gel;1
utinor 400mg tablet;1
daktarin 2% cream;66
daktarin 25mg/ml oral gel;11
lamisil 250mg tablet;31
lamisil 1% cream;32
zovirax 5% cream;31
iduridin 40% application;0
foscavir 6g/250ml intravenous infusion;0
foscavir 12g/500ml intravenous infusion;1
expelix elixir;0
ovex 100mg chewable tablet;0
penicillin;339
achromycin 1% eye/ear ointment;3
cidomycin topical cream;0
cidomycin topical ointment;0
cidomycin eye/ear drops;0
garamycin eye/ear drops;0
cicatrin cream;4
cicatrin dusting powder;0
framycetin sulphate+gramicidin 1.5%/0.005% ointment;0
chloromycetin 0.5% redidrops;2
chloramphenicol 0.25% eye drops;34
fucidin cream;87
fucidin ointment;17
fucidin gel;2
rifampicin+isoniazid;0
rifampicin+isoniazid+pyrazinamide;0
tribavirin;1
polymyxins;0
norzol 200mg/5ml suspension;2
piperazine+sennosides;0
diprosalic ointment;232
betamethasone+salicylic acid;11
vista-methasone 0.1% eye/ear/nose drops;6
betnesol 0.1% eye/ear/nose drops;155
diprosone cream;45
betnovate cream;1852
clobetasone butyrate+neomycin sulphate;24
maxitrol eye drops;37
maxidex eye drops;127
sofradex eye/ear drops;26
otomize ear spray;266
colifoam 10% foam;37
dioderm cream;5
mildison lipocream 1% cream;1
efcortelan 0.5% cream;54
timodine cream;96
tri-cicatrin ointment;1
betamethasone+clioquinol;3
betamethasone+neomycin sulphate;8
vista-methasone n eye/ear/nose drops;6
betamethasone+fusidic acid;25
fucibet cream;259
lotriderm cream;41
betamethasone+clotrimazole;8
dermovate cream;826
clobetasol propionate+neomycin sulphate+nystatin;21
eumovate cream;576
clobetasone butyrate+oxytetracycline+nystatin;4
cloburate eye drops;0
gregoderm ointment;0
alphaderm cream;34
calmurid hc cream;14
hydrocortisone+urea;2
hydrocortisone+pramoxine;0
epifoam foam;0
hydrocortisone+crotamiton;2
otosporin ear drops;27
vioform hydrocortisone cream;18
hydrocortisone+sodium fusidate;1
hydrocortisone+gentamicin;0
hydrocortisone+nystatin;1
hydrocortisone+potassium hydroxyquinoline;1
hydrocortisone+oxytetracycline;0
hydrocortisone+clioquinol;2
locoid 0.1% cream;97
hydrocortisone+chlorquinaldol;0
hydrocortisone+chloramphenicol;0
neo-cortef eye/ear ointment;0
hydrocortisone+neomycin;0
hydrocortisone+lignocaine;9
cobadex 0.5% cream;0
hydrocortisone+dimethicone '350';0
canesten hc cream;46
hydrocortisone+clotrimazole;33
hydrocortisone+miconazole;51
daktacort cream;352
hydrocortisone+econazole;0
econacort cream;2
hydrocortisone+fusidic acid;8
fucidin h cream;35
gentisone hc cream;1
nystaform-hc 0.5% cream;2
quinocort cream;0
terra-cortril ointment;5
terra-cortril nystatin cream;0
livial 2.5mg tablet;694
menzol 8-day 5mg planapack tablets;0
urofollitrophin;0
human menopausal gonadotrophins;15
oral hypoglycaemic;4
growth hormone product;44
disodium etidronate+calcium carbonate;11
miscellaneous cystitis remedies;4
papaverine;1
ortho-dienoestrol 0.01% cream;50
neo-medrone 0.25% cream;0
methylprednisolone+neomycin;1
predsol 0.5% eye/ear drops;60
pred forte 1% eye drops;86
adcortyl+graneodin cream;0
ledercort 0.1% cream;0
adcortyl 0.1% cream;10
tri-adcortyl cream;30
aureocort cream;5
nystadermal cream;0
pevaryl tc cream;0
audicort ear drops;2
triamcinolone+chlortetracycline;0
triamcinolone+nystatin;2
triamcinolone+econazole;1
triamcinolone+neomycin;0
insulin product;5879
micolette micro-enema;4
micralax micro-enema;14
relaxit micro-enema;4
human interferon gamma-1b;0
travogyn 300mg pessary;0
isopto carbacol 3% eye drops;0
combined oral contraceptive product;69
clonidine;681
lofexidine;2
adrenaline eye drops;1
procyclidine;218
pyridostigmine;93
propantheline;45
bethanechol;2
atropine;28
azelastine;105
cetirizine;6609
benzhexol;7
azatadine;2
benztropine;2
brompheniramine;0
cyclopentolate;11
chlorpheniramine;131
alnide 0.5% eye drops;0
cinnarizine;285
epifrin 1% eye drops;1
dipivefrine;1
ephedrine;12
isometheptene;0
oxymetazoline;9
homatropine;1
afrazine nose drops;1
ipratropium;619
physostigmine;0
mepenzolate;0
xamoterol;0
methixene;2
orphenadrine;30
oxitropium;1
demecarium;0
oxybutynin;1322
distigmine;1
pipenzolate;0
ecothiopate;0
poldine;0
edrophonium;0
cyproheptadine;4
opulets cyclopentolate eye drops;0
dimethindene;0
dicyclomine;3
vibrocil nasal spray;2
glycopyrronium;9
diphenhydramine product;37
diphenylpyraline;0
brasivol no.3 paste;0
aluminium chloride 19% gel;0
hyperdol 19% roll-on;0
aluminium chloride 19% cream;0
hyperdol 19% cream;0
hydroxyzine;182
mepyramine;0
phenindamine;0
pheniramine;0
pizotifen;806
triprolidine;1
trimeprazine;2
cough/decongestant preparation;16
anthical cream;0
isoaminile;1
methylcysteine;0
nedocromil;129
psoradrate 0.4% cream;0
keralyt 6% gel;0
selenium product;1605
lenium 2.5% shampoo;0
bayolin ointment;0
aradolene cream;0
malatex solution;0
malatex cream;0
sential e cream;0
thovaline spray;0
thovaline ointment;0
rikospray spray;0
theraderm 10% gel;0
natuderm cream;0
quinoderm 10% lotio-gel;1
noratex cream;0
acnidazil 2% cream;0
locobase cream;2
parfenac 5% cream;0
locobase ointment;0
meditar 5% waxstick;0
vaseline dermacare cream;5
clinitar 2.5% gel;8
synogist shampoo;0
polytar af liquid;26
benoxyl-10+sulphur cream;0
benoxyl-5+sulphur cream;0
theraderm 5% gel;0
dantrolene;22
waxsol 5% ear drops;2
trientine;0
bj6 eye drops;0
flavoxate;21
auralgicin ear drops;0
auraltone ear drops;0
nestosyl ointment;0
soliwax ear drops;0
carmellose;279
orahesive oral paste;0
framycetin;0
framygen eye drops;0
framygen ear drops;0
fucidin 2% caviject;1
mycifradin powder;0
myciguent ointment;0
graneodin eye ointment;0
oral erythromycin;8
parenteral erythromycin;0
topical erythromycin;7
latamoxef;0
framygen cream;0
soframycin powder;0
framycort eye ointment;0
framycort eye drops;0
framycort ear drops;0
soframycin cream;0
opulets chloramphenicol 0.5% eye drops;0
genticin 0.3% ointment;0
chloramphenicol powder;0
genticin 0.3% eye/ear drops;5
chloromycetin powder;0
gentisone hc ear drops;41
fosfomycin;3
genticin powder;0
cidomycin powder;0
neomycin product;14
cefsulodin;0
cephamycin;0
bacampicillin;0
achromycin 1% eye drops;4
isoconazole;0
travogyn 1% cream;0
topical miconazole;5
daktarin powder;2
vancocin powder;0
sulconazole;0
tineafax cream;0
fungilin 3% cream;1
fungilin ointment;0
talampicillin;0
carfecillin;0
methicillin;0
pivmecillinam;1
sulphacetamide;0
nystaform ointment;0
albucid 10% eye drops;0
multilind ointment;4
ocusol eye drops;1
chlortetracycline;0
aureomycin 3% cream;0
econazole;4
demeclocycline;2
pevaryl tc 1% cream;0
pevaryl 1% powder;0
ecostatin 1% powder;0
foscarnet;0
pimafucin 2% cream;0
kerecid eye drops;0
pimafucin 1% suspension;0
kerecid eye ointment;0
vidarabine;0
vira-a eye ointment;0
antepar 750mg/5ml elixir;0
ethambutolol;13
myambutol powder;0
hydroxychloroquine;961
proguanil;13
halofantrine;0
mepacrine;22
pentamidine;5
diloxanide;2
nalbuphine;0
pethidine;24
phenoperidine;0
benzydamine;53
pentazocine;10
paracetamol+caffeine;18
phenazocine;0
paracetamol+dextropropoxyphene;0
sumatriptan;1615
dextromoramide;1
dextropropoxyphene;0
dipipanone;2
codeine;2940
codeine linctus;20
diamorphine;5
dihydrocodeine;1811
methadone;64
diclofenac;10757
felbinac;33
liothyronine;141
thyroxine product;6698
leuprorelin;25
ketorolac;17
nefopam;143
metformin;16860
oestrogen product;388
fosfestrol;5
mestranol;0
cyproterone;46
diflucortolone;8
clomiphene;5
nerisone 0.1% cream;29
alclometasone;1
modrasone 0.05% cream;7
beclomethasone;2169
fluclorolone;3
topilar 0.025% cream;0
fludrocortisone;240
fluocinolone;20
gestronol;0
hydroxyprogesterone;2
clobetasone;185
trimovate ointment;326
cortisone product;60
megestrol;19
stiedex lp 0.05% oily cream;0
nandrolone;3
clobetasol;167
elocon cream;354
fluticasone;2627
uniroid ointment;6
framycort ointment;0
eczederm+hydrocortisone cream;35
metosyn 0.05% cream;40
ultradil cream;0
ultralanum cream;3
medrone lotion;0
mometasone;1234
mometasone furoate 0.1% ointment;121
haelan 0.0125% cream;13
mometasone furoate 0.1% lotion;92
barquinol-hc cream;0
dalteparin;4
tinzaparin;13
warfarin;5784
alpha tocopheryl product;8
menadiol;2
inositol product;5
pyridoxine preparation;161
thiamine preparation;756
sodium chloride eye drops;20
iron product;1755
ferrous salt product;236
hydroxyapatite;1
potassium product;101
glucose product;124
glykola elixir;0
dextrolyte;0
dioralyte product;24
electrolade product;4
gluco-lyte;6
rapolyte product;0
rehidrat product;0
mexiletine;5
moracizine;1
procainamide;3
propafenone;49
tocainide;0
torasemide;20
amiodarone;471
verapamil;983
amiloride;216
guanethidine;1
zinc product;3556
guanethidine eye drops;0
enalapril;4173
fosinopril;240
perindopril;8092
flecainide;984
antihypertensive;120
bethanidine;7
debrisoquine;0
colestipol;14
fluvastatin;264
preparation h ointment;5
diloxanide+metronidazole;0
hydrocortistab 1% cream;29
hydrocortisyl 1% cream;25
interferon alfa-2b;7
interferon alfa-2a;8
interferon-a-n1;0
emollient product;41
felodipine;4916
pravastatin;3304
co-dergocrine;0
ergot alkaloid product;0
ergotamine;3
ergometrine;0
methysergide;1
nitrate vasodilator;5
inositol nicotinate;7
isoxsuprine;0
naftidrofuryl;65
nicotinyl alcohol;0
diazoxide;4
hydralazine;57
betahistine;1706
dimethicone;2
omnopon paediatric 7.84mg/1ml injection;0
optimax 500mg tablet;6
crystapen v 125mg/5ml syrup;0
crystapen 250mg/5ml syrup;0
rapifen 500micrograms/5ml injection;0
rapifen concentrate 5mg/1ml injection;0
rapifen concentrate 1.5mg/15ml injection;0
penicillin v;261
isdn - isosorbide dinitrate;11
ismn - isosorbide mononitrate;307
nacl - sodium chloride;2
bicarbonate of soda;11
epinephrine;56
acetaminophen;9
lypressin;0
syntopressin 250iu/5ml nasal spray;0
rescufolin 15mg tablet;0
mestinon 60mg tablet;30
heroin;3
larafen cr 200mg m/r capsule;0
salivace sugar free spray;1
steri-neb ipratropium 250micrograms/1ml nebulisation unit;11
ferrocontin continus 454mg m/r tablet;0
neo-bendromax 2.5mg tablet;0
nindaxa 2.5mg tablet;1
didanosine;14
videx 25mg tablet;0
videx 100mg tablet;1
orahesive s106 powder 25g;0
desmotabs 200micrograms tablet;9
terfex 60mg tablet;0
zovirax cold sore 5% cream;9
motifene 75mg e/c+m/r capsule;89
infadrops 100mg/ml oral solution;0
carvedilol;421
rybarvin inhalant solution;0
crystapen 1megaunit injection (pdr for recon);0
phospholine iodide 0.03% eye drops;0
earex ear drops;2
benzamycin topical gel;1
clariteyes eye drops;2
brol-eze eye drops;1
oragard gel;0
otex ear drops;4
calpol six plus 250mg/5ml s/f suspension;0
aller-eze clear tablet;0
aspro clear maximum strength soluble tablet;17
opticrom allergy eye drops;347
hay-crom eye drops;18
avoca 75% applicator;1
avoca 95% applicator;0
pepcid ac indigestion tablet;14
tagamet 100 tablet;15
ceftibuten;0
zincosol 220mg effervescent tablet;0
diaphine 5mg injection (pdr for recon);0
diaphine 10mg injection (pdr for recon);0
diaphine 30mg injection (pdr for recon);0
diaphine 100mg injection (pdr for recon);0
diaphine 500mg injection (pdr for recon);0
vidopen 250mg injection (pdr for recon);0
vidopen 500mg injection (pdr for recon);0
retrovir 200mg/20ml intravenous infusion;0
losec 10mg capsule;404
calcijex 1microgram/1ml injection;1
cyclomin 50mg tablet;0
cyclomin 100mg tablet;0
cod liver oil capsule;29996
cedax 400mg capsule;0
cedax 90mg/5ml oral suspension;0
cedax 180mg/5ml oral suspension;0
klaricid 500mg tablet;0
sulfasalazine;1045
sodium picosulfate;35
chlortalidone;47
furosemide;4176
pentaerithrityl tetranitrate;0
pentoxifylline;13
penicillin g;0
cefamandole;0
n-acetylcysteine;13
amipramizide;3
amobarbital;0
vitamin c product;6446
gold sodium thiomalate;3
ditemic spansule;0
dencyl spansule;0
fortespan spansule;1
iocare balanced salt solution;1
rosoxacin;4
methenamine hippurate;24
azt - azidothymidine;0
azidothymidine;0
ribavirin;25
multivitamins capsule;402
acenocoumarol;8
acetylsalicylic acid;4
etamsylate;6
colestyramine;110
beclometasone;4875
sodium cromoglicate;455
chlorphenamine;310
alimemazine;26
mecysteine;14
clomethiazole;6
flupentixol;60
levomepromazine;12
pipotiazine;1
dosulepin;1816
methylphenobarbital;0
lisuride;0
trihexyphenidyl;79
benzatropine;4
ciclosporin;74
diethylstilbestrol;18
dextrose product;4
azt - azathioprine;21
retinol product;13
vitamin b1 preparation;211
vitamin b6 preparation;605
calciferol;110
vitamin d2;101
hydroxycholecalciferol;2
dihydroxycholecalciferol;3
vitamin k1;3
benorilate;1
sulfinpyrazone;28
eserine;1
desoximetasone;1
tri-iodothyronine product;4
estropipate;8
aveeno bath oil;6
biosynthetic human growth hormone;4
gonadotrophin-releasing hormone product;6
gnrh - gonadotrophin-releasing hormone product;5
lh-rh - gonadotrophin-releasing hormone;5
thyrotrophin-releasing hormone;5
trh - protirelin;0
indometacin;344
coc - combined oral contraceptives;11
fludroxycortide;9
acyclovir;199
placidex 120mg/5ml liquid;1
immune interferon;0
zinc+castor oil cream bp;3
mtx - methotrexate;49
myciguent eye ointment;0
medilave oral gel;0
aaa mouth and throat spray;0
neutrogena dermatological cream;9
antraderm 1% waxstick;0
antraderm forte 2% waxstick;0
aminazine;0
cpz - chlorpromazine;8
biomycin;1
paraffin-white soft;18
meclastine;1
chloramiphene;17
clorazepate dipotassium;2
methylmorphine;1
cya - cyclosporin;19
antrapurol;1
chrysazin;1
isocaramidine;0
chologon;0
triketocholanic acid;0
diacetylmorphine;0
digitalis;0
prostaglandin e2 product;5
ung emuls - ungentum emulsificans;5
hc - hydrocortisone;15
sa - salicylic acid;1
feso4 - ferrous sulphate;29
bzt - bendrofluazide;69
pen g - benzylpenicillin;0
parabromdylamine;0
butethal;0
disodium enoxolone;0
chenic acid;0
cdca - chenodeoxycholic acid;0
pge2 - prostaglandin e2 product;0
phenylpiperone;0
ehdp - etidronate disodium;0
dioctyl sodium sulphosuccinate;3
cortisol product;6
butylscopolamine bromide;0
scopolamine butylbromide;0
scopolamine;1
b12 - hydroxocobalamin prep;461
propionic acid-ibuprofen;1
flu - influenza vaccine;175
maoi - isocarboxazid;0
ina - isoniazid;0
inah - isoniazid;0
sorbide nitrate;1
ismo - isosorbide mononitrate;180
l-dopa - levodopa;0
t3 - liothyronine;9
sodium liothyronine;12
paraffin liquid;12
ccnu - lomustine;0
ethacrynate sodium;0
cyclonamine;0
epeg - etoposide;0
iron sulphate;234
5fu - fluorouracil;12
folate product;15
citrovorum factor;1
fusidate sodium;6
sodium ethacrynate;1
gestonorone;0
glybenclamide;3
glyclizide;112
nitroglycerin;19
nitroglycerol;9
jaguar gum;0
guar flour;0
apressinum;0
6mp - mercaptopurine;10
5asa - mesalazine;10
aminosalicylic acid;4
amidine;1
phenadone;0
alpha methyldopa;2
methyl tyrosine;5
pseudomonic acid;0
hydantoin;0
prindolol;20
pyrazinobutazone;0
aldadiene potassium;2
pot can;0
canrenoate potassium;0
eptastatin;5
deltahydrocortisone;2
hexamidinum;0
luteal hormone;2
luteine;414
diprazinum;1
fenopraine;1
trf - protirelin;1
sennosides;2
synvinolin;0
velastatin;3
sodabic;1
bicarb;3
monosodium carbonate;1
baking soda;1
benzoxazocine;6
niacin;50
ethinylnortestosterone;2
azodisalicylic acid;0
